time,time_raw,flux
54953.5392134,54953.5392134,-413.82501833718993
54953.5596478,54953.5596478,-491.5263115551254
54953.5800821,54953.5800821,-578.3213064102138
54953.6005165,54953.6005165,-807.7350629083118
54953.6209509,54953.6209509,-558.4013487569445
54953.6413852,54953.6413852,-296.45818617473225
54953.6618195,54953.6618195,-98.88660303790812
54953.682254,54953.682254,222.293603197597
54953.7026882,54953.7026882,404.7776363661588
54953.7231226,54953.7231226,450.60614005655145
54953.7435571,54953.7435571,729.1181889862536
54953.7639913,54953.7639913,693.4694435184558
54953.7844257,54953.7844257,951.2584411882725
54953.8048601,54953.8048601,1015.388374505109
54953.8252944,54953.8252944,1143.4815761387592
54953.8457288,54953.8457288,1040.8219662906379
54953.8661632,54953.8661632,1030.36116571643
54953.8865976,54953.8865976,884.7091009492975
54953.9070319,54953.9070319,727.6616069450498
54953.9274663,54953.9274663,692.8613695077563
54953.9479007,54953.9479007,353.69485332304833
54953.968335,54953.968335,325.97740642937697
54953.9887693,54953.9887693,339.02115223706073
54954.0092036,54954.0092036,347.69594933660005
54954.0296381,54954.0296381,578.5242416583942
54954.0500724,54954.0500724,783.605015678322
54954.0705068,54954.0705068,847.4314591801019
54954.0909412,54954.0909412,789.2997751900539
54954.1113755,54954.1113755,871.9199955961138
54954.1318099,54954.1318099,874.5745759776253
54954.1522441,54954.1522441,843.0237559350446
54954.1726786,54954.1726786,835.8547697225977
54954.193113,54954.193113,616.9882107453046
54954.2135472,54954.2135472,306.62433222506786
54954.2339817,54954.2339817,12.10354501502816
54954.2544161,54954.2544161,-292.83182118488173
54954.2748503,54954.2748503,-82.53084987429763
54954.2952847,54954.2952847,-53.7805044378186
54954.3157192,54954.3157192,163.9046598213107
54954.3361535,54954.3361535,289.92080704582764
54954.3565878,54954.3565878,277.10152426808475
54954.3770222,54954.3770222,386.8401863570498
54954.3974566,54954.3974566,528.6908219585091
54954.4178909,54954.4178909,566.8120345853162
54954.4383252,54954.4383252,397.3922066363806
54954.4587597,54954.4587597,247.9287736619857
54954.479194,54954.479194,261.31812860076104
54954.4996283,54954.4996283,413.6451070927511
54954.5200627,54954.5200627,694.9447586844277
54954.5404971,54954.5404971,910.8985966002896
54954.5609315,54954.5609315,1071.9809056436234
54954.5813658,54954.5813658,1245.5947183769867
54954.6018002,54954.6018002,1374.7152257314224
54954.6222346,54954.6222346,1411.4313772923913
54954.6426689,54954.6426689,1227.3739483874915
54954.6631032,54954.6631032,873.7594470093075
